failure_category,failure_subcategory,count,sources,blocks,examples
node_dependency_or_runtime,node-deps,2,executionagent-runs-gpt4o:2,30-node-deps:2,executionagent-runs-gpt4o:nestjs-nest:30-node-deps | executionagent-runs-gpt4o:webpack-webpack:30-node-deps
python_dependency_resolution,python-dependencies,2,projects-repo2run:2,30-python-dependencies:2,projects-repo2run:nano-graphrag:30-python-dependencies | projects-repo2run:hydra:30-python-dependencies
python_dependency_resolution,python-runtime,2,installamatic-runs:1; installamatic-runs-rerun-failures-2:1,20-python-runtime:2,installamatic-runs:boto-boto3:20-python-runtime | installamatic-runs-rerun-failures-2:open-compass-opencompass:20-python-runtime
test_tooling_or_collection,build-test-prep,2,executionagent-runs-gpt54:2,03-build-test-prep:2,executionagent-runs-gpt54:pandas-dev-pandas:03-build-test-prep | executionagent-runs-gpt54:scikit-learn-scikit-learn:03-build-test-prep
java_runtime_or_dependency,java-runtime,1,executionagent-runs-gpt4o:1,21-java-runtime:1,executionagent-runs-gpt4o:facebook-react-native:21-java-runtime
llm_or_repair_generation,llm_response_or_connection,1,projects-repo2run:1,(blank):1,projects-repo2run:LazyLLM:
native_build_or_toolchain,rust-deps,1,executionagent-runs-gpt4o:1,30-rust-deps:1,executionagent-runs-gpt4o:denoland-deno:30-rust-deps
oracle_or_final_validation_failure,final_clean_replay_failed,1,setupbench-runs-all-gpt-4.1-2rerun:1,(blank):1,setupbench-runs-all-gpt-4.1-2rerun:apache-cassandra:
python_dependency_resolution,package_build_failure,1,/sdb-disk/lix/love/pheragent/projects-repo2run:1,02-language-deps:1,/sdb-disk/lix/love/pheragent/projects-repo2run:Speech-AI-Forge:02-language-deps
python_dependency_resolution,version_or_solver_conflict,1,/sdb-disk/lix/love/pheragent/projects-repo2run:1,02-language-deps:1,/sdb-disk/lix/love/pheragent/projects-repo2run:pi-nexus-autonomous-banking-network:02-language-deps
repo_layout_or_wrong_workdir,missing_expected_build_file,1,executionagent-runs-gpt4o:1,20-native-build-config:1,executionagent-runs-gpt4o:msgpack-msgpack-c:20-native-build-config
system_package_installation,system-packages,1,executionagent-runs-gpt54:1,10-system-packages:1,executionagent-runs-gpt54:dmlc-xgboost:10-system-packages
test_tooling_or_collection,pytest-collect,1,setupbench-runs-all-gpt-4.1-2rerun:1,04-pytest-collect:1,setupbench-runs-all-gpt-4.1-2rerun:nvbn-thefuck:04-pytest-collect
