rollback_classification,source_dir,project_slug,owner_repo,commit_version,run_dir,first_non_adjacent_target_block,first_non_adjacent_block,first_non_adjacent_skipped_blocks
previous_block_only_rollback,executionagent-runs-gpt4o,pallets-flask,pallets/flask,2579ce9f18e67ec3213c6eceb5240310ccd46af8,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask,,,
previous_block_only_rollback,executionagent-runs-gpt4o,webpack-webpack,webpack/webpack,3c4319f30f573d68ef2e63826b4abcb6114886df,executionagent-runs-gpt4o/state/webpack-webpack/webpack/runs/executionagent-gpt4o-webpack,,,
previous_block_only_rollback,executionagent-runs-gpt54,activiti-activiti,Activiti/Activiti,fdc35a408e03da2e034a17a54968750d111b17e6,executionagent-runs-gpt54/state/activiti-activiti/Activiti/runs/executionagent-activiti,,,
previous_block_only_rollback,executionagent-runs-gpt54,apache-flink,apache/flink,7ba97419d200adef672b67c52c2b5a79f277cfda,executionagent-runs-gpt54/state/apache-flink/flink/runs/executionagent-flink,,,
previous_block_only_rollback,executionagent-runs-gpt54,ccache-ccache,ccache/ccache,7f3e822efb1bee779f8a520c5efb48ce33d1bfef,executionagent-runs-gpt54/state/ccache-ccache/ccache/runs/executionagent-ccache,,,
previous_block_only_rollback,executionagent-runs-gpt54,denoland-deno,denoland/deno,952963cb42b20cd9469a8b0349fb53b15ef95d1f,executionagent-runs-gpt54/state/denoland-deno/deno/runs/executionagent-deno,,,
previous_block_only_rollback,executionagent-runs-gpt54,distcc-distcc,distcc/distcc,a627b26f08cd08542f63829f7fd9cd0fea0523fd,executionagent-runs-gpt54/state/distcc-distcc/distcc/runs/executionagent-distcc,,,
previous_block_only_rollback,executionagent-runs-gpt54,freertos-freertos-kernel,FreeRTOS/FreeRTOS-Kernel,fed39c5ea7483dde7bf7c92950d49e6b75539f5a,executionagent-runs-gpt54/state/freertos-freertos-kernel/FreeRTOS-Kernel/runs/executionagent-freertos-kernel,,,
previous_block_only_rollback,executionagent-runs-gpt54,langchain-ai-langchain,langchain-ai/langchain,15cc090e52283e82007ae6f9202d556c02a1e136,executionagent-runs-gpt54/state/langchain-ai-langchain/langchain/runs/executionagent-langchain,,,
previous_block_only_rollback,executionagent-runs-gpt54,numpy-numpy,numpy/numpy,aa843d5af41179e66129ae7d30579c7556657ab8,executionagent-runs-gpt54/state/numpy-numpy/numpy/runs/executionagent-numpy,,,
previous_block_only_rollback,executionagent-runs-gpt54,opencv-opencv,opencv/opencv,579dfb6e025c62acb16b7b3e1fe953030df68d40,executionagent-runs-gpt54/state/opencv-opencv/opencv/runs/executionagent-opencv,,,
previous_block_only_rollback,executionagent-runs-gpt54,python-cpython,python/cpython,1eddef81930ad9f7e2f411f153c35af16a6edf14,executionagent-runs-gpt54/state/python-cpython/cpython/runs/executionagent-cpython,,,
previous_block_only_rollback,executionagent-runs-gpt54,spring-projects-spring-security,spring-projects/spring-security,0d5f42f8529c1e56886e91616b6ca7d30f15c65e,executionagent-runs-gpt54/state/spring-projects-spring-security/spring-security/runs/executionagent-spring-security,,,
previous_block_only_rollback,executionagent-runs-gpt54,twbs-bootstrap,twbs/bootstrap,e170268b3c021cdb2eec09df6f4ae6db3664a21a,executionagent-runs-gpt54/state/twbs-bootstrap/bootstrap/runs/executionagent-bootstrap,,,
previous_block_only_rollback,installamatic-runs,aimhubio-aim,aimhubio/aim,a566d4a,installamatic-runs/state/aimhubio-aim/aim/runs/installamatic-aim,,,
previous_block_only_rollback,installamatic-runs,boto-boto3,boto/boto3,4e31351,installamatic-runs/state/boto-boto3/boto3/runs/installamatic-boto3,,,
previous_block_only_rollback,installamatic-runs,cvhub520-x-anylabeling,CVHub520/X-AnyLabeling,7c62ffb,installamatic-runs/state/cvhub520-x-anylabeling/X-AnyLabeling/runs/installamatic-x-anylabeling,,,
previous_block_only_rollback,installamatic-runs,encode-starlette,encode/starlette,2d0dde8,installamatic-runs/state/encode-starlette/starlette/runs/installamatic-starlette,,,
previous_block_only_rollback,installamatic-runs,explosion-spacy,explosion/spaCy,30f1f33,installamatic-runs/state/explosion-spacy/spaCy/runs/installamatic-spacy,,,
previous_block_only_rollback,installamatic-runs,getmoto-moto,getmoto/moto,255d2b8,installamatic-runs/state/getmoto-moto/moto/runs/installamatic-moto,,,
previous_block_only_rollback,installamatic-runs,home-assistant-core,home-assistant/core,7555f20,installamatic-runs/state/home-assistant-core/core/runs/installamatic-core,,,
previous_block_only_rollback,installamatic-runs,jxnl-instructor,jxnl/instructor,959097e,installamatic-runs/state/jxnl-instructor/instructor/runs/installamatic-instructor,,,
previous_block_only_rollback,installamatic-runs,mandarons-icloud-drive-docker,mandarons/icloud-drive-docker,8cbcc2c,installamatic-runs/state/mandarons-icloud-drive-docker/icloud-drive-docker/runs/installamatic-icloud-drive-docker,,,
previous_block_only_rollback,installamatic-runs,microsoft-qlib,microsoft/qlib,ca9f186,installamatic-runs/state/microsoft-qlib/qlib/runs/installamatic-qlib,,,
previous_block_only_rollback,installamatic-runs,open-compass-opencompass,open-compass/opencompass,7c7fa36,installamatic-runs/state/open-compass-opencompass/opencompass/runs/installamatic-opencompass,,,
previous_block_only_rollback,installamatic-runs,pennylaneai-pennylane,PennyLaneAI/pennylane,b78565c,installamatic-runs/state/pennylaneai-pennylane/pennylane/runs/installamatic-pennylane,,,
previous_block_only_rollback,installamatic-runs,python-mypy,python/mypy,0c10367,installamatic-runs/state/python-mypy/mypy/runs/installamatic-mypy,,,
previous_block_only_rollback,installamatic-runs,sabnzbd-sabnzbd,sabnzbd/sabnzbd,07250aa,installamatic-runs/state/sabnzbd-sabnzbd/sabnzbd/runs/installamatic-sabnzbd,,,
previous_block_only_rollback,installamatic-runs,sciphi-ai-r2r,SciPhi-AI/R2R,712defb,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,,,
previous_block_only_rollback,installamatic-runs,soimort-you-get,soimort/you-get,c4042d0,installamatic-runs/state/soimort-you-get/you-get/runs/installamatic-you-get,,,
previous_block_only_rollback,installamatic-runs,speechbrain-speechbrain,speechbrain/speechbrain,dd65e12,installamatic-runs/state/speechbrain-speechbrain/speechbrain/runs/installamatic-speechbrain,,,
previous_block_only_rollback,installamatic-runs,tiangolo-fastapi,tiangolo/fastapi,212fd5e,installamatic-runs/state/tiangolo-fastapi/fastapi/runs/installamatic-fastapi,,,
previous_block_only_rollback,installamatic-runs,tqdm-tqdm,tqdm/tqdm,951a2ba,installamatic-runs/state/tqdm-tqdm/tqdm/runs/installamatic-tqdm,,,
previous_block_only_rollback,installamatic-runs,vainf-torch-pruning,VainF/Torch-Pruning,88e7472,installamatic-runs/state/vainf-torch-pruning/Torch-Pruning/runs/installamatic-torch-pruning,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,cvhub520-x-anylabeling,CVHub520/X-AnyLabeling,7c62ffb,installamatic-runs-rerun-failures-2/state/cvhub520-x-anylabeling/X-AnyLabeling/runs/installamatic-x-anylabeling,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,home-assistant-core,home-assistant/core,7555f20,installamatic-runs-rerun-failures-2/state/home-assistant-core/core/runs/installamatic-core,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,jxnl-instructor,jxnl/instructor,959097e,installamatic-runs-rerun-failures-2/state/jxnl-instructor/instructor/runs/installamatic-instructor,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,mandarons-icloud-drive-docker,mandarons/icloud-drive-docker,8cbcc2c,installamatic-runs-rerun-failures-2/state/mandarons-icloud-drive-docker/icloud-drive-docker/runs/installamatic-icloud-drive-docker,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,microsoft-qlib,microsoft/qlib,ca9f186,installamatic-runs-rerun-failures-2/state/microsoft-qlib/qlib/runs/installamatic-qlib,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,open-compass-opencompass,open-compass/opencompass,7c7fa36,installamatic-runs-rerun-failures-2/state/open-compass-opencompass/opencompass/runs/installamatic-opencompass,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,python-mypy,python/mypy,0c10367,installamatic-runs-rerun-failures-2/state/python-mypy/mypy/runs/installamatic-mypy,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,sciphi-ai-r2r,SciPhi-AI/R2R,712defb,installamatic-runs-rerun-failures-2/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,soimort-you-get,soimort/you-get,c4042d0,installamatic-runs-rerun-failures-2/state/soimort-you-get/you-get/runs/installamatic-you-get,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,speechbrain-speechbrain,speechbrain/speechbrain,dd65e12,installamatic-runs-rerun-failures-2/state/speechbrain-speechbrain/speechbrain/runs/installamatic-speechbrain,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,tiangolo-fastapi,tiangolo/fastapi,212fd5e,installamatic-runs-rerun-failures-2/state/tiangolo-fastapi/fastapi/runs/installamatic-fastapi,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-2,vainf-torch-pruning,VainF/Torch-Pruning,88e7472,installamatic-runs-rerun-failures-2/state/vainf-torch-pruning/Torch-Pruning/runs/installamatic-torch-pruning,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,cvhub520-x-anylabeling,CVHub520/X-AnyLabeling,7c62ffb,installamatic-runs-rerun-failures-3/state/cvhub520-x-anylabeling/X-AnyLabeling/runs/installamatic-x-anylabeling,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,home-assistant-core,home-assistant/core,7555f20,installamatic-runs-rerun-failures-3/state/home-assistant-core/core/runs/installamatic-core,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,jxnl-instructor,jxnl/instructor,959097e,installamatic-runs-rerun-failures-3/state/jxnl-instructor/instructor/runs/installamatic-instructor,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,mandarons-icloud-drive-docker,mandarons/icloud-drive-docker,8cbcc2c,installamatic-runs-rerun-failures-3/state/mandarons-icloud-drive-docker/icloud-drive-docker/runs/installamatic-icloud-drive-docker,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,microsoft-qlib,microsoft/qlib,ca9f186,installamatic-runs-rerun-failures-3/state/microsoft-qlib/qlib/runs/installamatic-qlib,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,open-compass-opencompass,open-compass/opencompass,7c7fa36,installamatic-runs-rerun-failures-3/state/open-compass-opencompass/opencompass/runs/installamatic-opencompass,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,python-mypy,python/mypy,0c10367,installamatic-runs-rerun-failures-3/state/python-mypy/mypy/runs/installamatic-mypy,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,sciphi-ai-r2r,SciPhi-AI/R2R,712defb,installamatic-runs-rerun-failures-3/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,speechbrain-speechbrain,speechbrain/speechbrain,dd65e12,installamatic-runs-rerun-failures-3/state/speechbrain-speechbrain/speechbrain/runs/installamatic-speechbrain,,,
previous_block_only_rollback,installamatic-runs-rerun-failures-3,tiangolo-fastapi,tiangolo/fastapi,212fd5e,installamatic-runs-rerun-failures-3/state/tiangolo-fastapi/fastapi/runs/installamatic-fastapi,,,
previous_block_only_rollback,projects-repo2run,AdvancedLivePortrait-WebUI,,,projects-repo2run/AdvancedLivePortrait-WebUI/.pheragent/runs/repo2run-gpt-4o-20241120-advancedliveportrait-webui,,,
previous_block_only_rollback,projects-repo2run,AlphaCodium,,,projects-repo2run/AlphaCodium/.pheragent/runs/repo2run-gpt-4o-20241120-alphacodium,,,
previous_block_only_rollback,projects-repo2run,ClaudeSync,,,projects-repo2run/ClaudeSync/.pheragent/runs/repo2run-gpt-4o-20241120-claudesync,,,
previous_block_only_rollback,projects-repo2run,CodeFuse-muAgent,,,projects-repo2run/CodeFuse-muAgent/.pheragent/runs/repo2run-gpt-4o-20241120-codefuse-muagent,,,
previous_block_only_rollback,projects-repo2run,ComfyUI_omost,,,projects-repo2run/ComfyUI_omost/.pheragent/runs/repo2run-gpt-4o-20241120-comfyui-omost,,,
previous_block_only_rollback,projects-repo2run,DeepSpeedFugaku,,,projects-repo2run/DeepSpeedFugaku/.pheragent/runs/repo2run-gpt-4o-20241120-deepspeedfugaku,,,
previous_block_only_rollback,projects-repo2run,ENOVA,,,projects-repo2run/ENOVA/.pheragent/runs/repo2run-gpt-4o-20241120-enova,,,
previous_block_only_rollback,projects-repo2run,ExtractThinker,,,projects-repo2run/ExtractThinker/.pheragent/runs/repo2run-gpt-4o-20241120-extractthinker,,,
previous_block_only_rollback,projects-repo2run,FuzzTypes,,,projects-repo2run/FuzzTypes/.pheragent/runs/repo2run-gpt-4o-20241120-fuzztypes,,,
previous_block_only_rollback,projects-repo2run,GiT,,,projects-repo2run/GiT/.pheragent/runs/repo2run-gpt-4o-20241120-git,,,
previous_block_only_rollback,projects-repo2run,GraphRAG-SDK,,,projects-repo2run/GraphRAG-SDK/.pheragent/runs/repo2run-gpt-4o-20241120-graphrag-sdk,,,
previous_block_only_rollback,projects-repo2run,Grimoire,,,projects-repo2run/Grimoire/.pheragent/runs/repo2run-gpt-4o-20241120-grimoire,,,
previous_block_only_rollback,projects-repo2run,HiGPT,,,projects-repo2run/HiGPT/.pheragent/runs/repo2run-gpt-4o-20241120-higpt,,,
previous_block_only_rollback,projects-repo2run,LKAN,,,projects-repo2run/LKAN/.pheragent/runs/repo2run-gpt-4o-20241120-lkan,,,
previous_block_only_rollback,projects-repo2run,LaVague,,,projects-repo2run/LaVague/.pheragent/runs/repo2run-gpt-4o-20241120-lavague,,,
previous_block_only_rollback,projects-repo2run,MultiModalMamba,,,projects-repo2run/MultiModalMamba/.pheragent/runs/repo2run-gpt-4o-20241120-multimodalmamba,,,
previous_block_only_rollback,projects-repo2run,Open-Sora,,,projects-repo2run/Open-Sora/.pheragent/runs/repo2run-gpt-4o-20241120-open-sora,,,
previous_block_only_rollback,projects-repo2run,ReAct,,,projects-repo2run/ReAct/.pheragent/runs/repo2run-gpt-4o-20241120-react,,,
previous_block_only_rollback,projects-repo2run,Speech-AI-Forge,,,projects-repo2run/Speech-AI-Forge/.pheragent/runs/repo2run-gpt-4o-20241120-speech-ai-forge,,,
previous_block_only_rollback,projects-repo2run,TensorHue,,,projects-repo2run/TensorHue/.pheragent/runs/repo2run-gpt-4o-20241120-tensorhue,,,
previous_block_only_rollback,projects-repo2run,TransOPT,,,projects-repo2run/TransOPT/.pheragent/runs/repo2run-gpt-4o-20241120-transopt,,,
previous_block_only_rollback,projects-repo2run,TrustRAG,,,projects-repo2run/TrustRAG/.pheragent/runs/repo2run-gpt-4o-20241120-trustrag,,,
previous_block_only_rollback,projects-repo2run,UrbanGPT,,,projects-repo2run/UrbanGPT/.pheragent/runs/repo2run-gpt-4o-20241120-urbangpt,,,
previous_block_only_rollback,projects-repo2run,Yuan2.0-M32,,,projects-repo2run/Yuan2.0-M32/.pheragent/runs/repo2run-gpt-4o-20241120-yuan2-0-m32,,,
previous_block_only_rollback,projects-repo2run,access,,,projects-repo2run/access/.pheragent/runs/repo2run-gpt-4o-20241120-access,,,
previous_block_only_rollback,projects-repo2run,agent-zero,,,projects-repo2run/agent-zero/.pheragent/runs/repo2run-gpt-4o-20241120-agent-zero,,,
previous_block_only_rollback,projects-repo2run,audioseal,,,projects-repo2run/audioseal/.pheragent/runs/repo2run-gpt-4o-20241120-audioseal,,,
previous_block_only_rollback,projects-repo2run,beaverhabits,,,projects-repo2run/beaverhabits/.pheragent/runs/repo2run-gpt-4o-20241120-beaverhabits,,,
previous_block_only_rollback,projects-repo2run,co-op-translator,,,projects-repo2run/co-op-translator/.pheragent/runs/repo2run-gpt-4o-20241120-co-op-translator,,,
previous_block_only_rollback,projects-repo2run,datachain,,,projects-repo2run/datachain/.pheragent/runs/repo2run-gpt-4o-20241120-datachain,,,
previous_block_only_rollback,projects-repo2run,digital-cousins,,,projects-repo2run/digital-cousins/.pheragent/runs/repo2run-gpt-4o-20241120-digital-cousins,,,
previous_block_only_rollback,projects-repo2run,droid_policy_learning,,,projects-repo2run/droid_policy_learning/.pheragent/runs/repo2run-gpt-4o-20241120-droid-policy-learning,,,
previous_block_only_rollback,projects-repo2run,dsRAG,,,projects-repo2run/dsRAG/.pheragent/runs/repo2run-gpt-4o-20241120-dsrag,,,
previous_block_only_rollback,projects-repo2run,fastapi-cli,,,projects-repo2run/fastapi-cli/.pheragent/runs/repo2run-gpt-4o-20241120-fastapi-cli,,,
previous_block_only_rollback,projects-repo2run,fastfit,,,projects-repo2run/fastfit/.pheragent/runs/repo2run-gpt-4o-20241120-fastfit,,,
previous_block_only_rollback,projects-repo2run,felafax,,,projects-repo2run/felafax/.pheragent/runs/repo2run-gpt-4o-20241120-felafax,,,
previous_block_only_rollback,projects-repo2run,flash-diffusion,,,projects-repo2run/flash-diffusion/.pheragent/runs/repo2run-gpt-4o-20241120-flash-diffusion,,,
previous_block_only_rollback,projects-repo2run,fms-fsdp,,,projects-repo2run/fms-fsdp/.pheragent/runs/repo2run-gpt-4o-20241120-fms-fsdp,,,
previous_block_only_rollback,projects-repo2run,goose,,,projects-repo2run/goose/.pheragent/runs/repo2run-gpt-4o-20241120-goose,,,
previous_block_only_rollback,projects-repo2run,gpustack,,,projects-repo2run/gpustack/.pheragent/runs/repo2run-gpt-4o-20241120-gpustack,,,
previous_block_only_rollback,projects-repo2run,hailo-rpi5-examples,,,projects-repo2run/hailo-rpi5-examples/.pheragent/runs/repo2run-gpt-4o-20241120-hailo-rpi5-examples,,,
previous_block_only_rollback,projects-repo2run,hng_boilerplate_python_fastapi_web,,,projects-repo2run/hng_boilerplate_python_fastapi_web/.pheragent/runs/repo2run-gpt-4o-20241120-hng-boilerplate-python-fastapi-web,,,
previous_block_only_rollback,projects-repo2run,horus,,,projects-repo2run/horus/.pheragent/runs/repo2run-gpt-4o-20241120-horus,,,
previous_block_only_rollback,projects-repo2run,hydra,,,projects-repo2run/hydra/.pheragent/runs/repo2run-gpt-4o-20241120-hydra,,,
previous_block_only_rollback,projects-repo2run,infini-transformer,,,projects-repo2run/infini-transformer/.pheragent/runs/repo2run-gpt-4o-20241120-infini-transformer,,,
previous_block_only_rollback,projects-repo2run,llumnix,,,projects-repo2run/llumnix/.pheragent/runs/repo2run-gpt-4o-20241120-llumnix,,,
previous_block_only_rollback,projects-repo2run,mamba-tabular,,,projects-repo2run/mamba-tabular/.pheragent/runs/repo2run-gpt-4o-20241120-mamba-tabular,,,
previous_block_only_rollback,projects-repo2run,mflux,,,projects-repo2run/mflux/.pheragent/runs/repo2run-gpt-4o-20241120-mflux,,,
previous_block_only_rollback,projects-repo2run,minbpe,,,projects-repo2run/minbpe/.pheragent/runs/repo2run-gpt-4o-20241120-minbpe,,,
previous_block_only_rollback,projects-repo2run,mlfz,,,projects-repo2run/mlfz/.pheragent/runs/repo2run-gpt-4o-20241120-mlfz,,,
previous_block_only_rollback,projects-repo2run,n-levels-of-rag,,,projects-repo2run/n-levels-of-rag/.pheragent/runs/repo2run-gpt-4o-20241120-n-levels-of-rag,,,
previous_block_only_rollback,projects-repo2run,nano-graphrag,,,projects-repo2run/nano-graphrag/.pheragent/runs/repo2run-gpt-4o-20241120-nano-graphrag,,,
